Sl.Num,ProductName,nd,AgeGroup,Gender,Sentiment,,,,,,
1,Toyztrend Junior Smiley Stacking,https://www.amazon.in/Toyztrend-Junior-Stacking-Multicolour-Toddlers/dp/B075F7V3J4/ref=sr_1_4?dchild=1&fst=as%3Aoff&qid=1601614497&refinements=p_n_age_range%3A1480706031&rnid=1480704031&s=toys&sr=1-4,0,"1,0","3,6,4",,,,,,
2,Thames & kosmos Solar Car Set Science Kit,https://www.amazon.in/Thames-kosmos-Solar-Science-Multi/dp/B00B9BFSVK/ref=sr_1_14?dchild=1&fst=as%3Aoff&qid=1601614777&refinements=p_n_age_range%3A1480709031&rnid=1480704031&s=toys&sr=1-14,"0,1","1,0","3,4",,,,,,
3,Pampers Diaper Pants,https://www.amazon.in/Pampers-Large-Diapers-Pants-Count/dp/B07CXFJT8Q?ref_=Oct_s9_apbd_orecs_hd_bw_b28C45v&pf_rd_r=S7YK5V13YAJ5DDDACK2X&pf_rd_p=fab00440-0fb2-57e8-a72e-2ebcfb0ac4cf&pf_rd_s=merchandised-search-10&pf_rd_t=BROWSE&pf_rd_i=1953352031,0,"1,0","0,3,5,4,1,2",,,,,,
4,Mamaearth Deeply Nourishing wash for Babies,https://www.amazon.in/Mamaearth-Deeply-Nourishing-Wash-Babies/dp/B085689FJK?ref_=Oct_s9_apbd_omg_hd_bw_b28B859&pf_rd_r=MFDN00VD4F8N8PB6TAD3&pf_rd_p=fa1a15e6-55f5-513f-b56b-0482bbf5a8cd&pf_rd_s=merchandised-search-10&pf_rd_t=BROWSE&pf_rd_i=1953129031,0,"1,0","3,4",,,,,,
5,Johnson's Baby Lotion & Baby Cream,https://www.amazon.in/Johnsons-Baby-Lotion/dp/B07TZJ8K7F?ref_=Oct_s9_apbd_obs_hd_bw_b28BAAB&pf_rd_r=NH9X18WC0RY4P2Z227Q2&pf_rd_p=a6fe9145-d854-5097-9439-5cf10b923657&pf_rd_s=merchandised-search-10&pf_rd_t=BROWSE&pf_rd_i=1953137031,0,"1,0","3,5,0,4",,,,,,
6,LuvLap Galaxy Stroller/Pram,https://www.amazon.in/LuvLap-Galaxy-Stroller-Green-Black/dp/B01MZB0JOO/ref=lp_1953483031_1_6?s=baby&ie=UTF8&qid=1601615288&sr=1-6,0,"1,0","3,5,4,6",,,,,,
7,Johnson's Baby Wipes,https://www.amazon.in/Johnsons-Baby-Wipes-Pack-wipes/dp/B00EZQ5DD4/ref=lp_1953142031_1_9?s=baby&ie=UTF8&qid=1601615454&sr=1-9,"0,1,2,3,4,5,6,7","1,0","3,4,1",,,,,,
8,Sebamed Childrens' Shampoo,https://www.amazon.in/SebaMed-Sebamed-Childrens-Shampoo-500ml/dp/B00VFJ6FEU?ref_=Oct_s9_apbd_orecs_hd_bw_b28B8LH&pf_rd_r=ZQ43Z5Y1J0B5KP6DDSZS&pf_rd_p=2a2b242d-6e91-5cc9-a94a-72de63be6dfd&pf_rd_s=merchandised-search-10&pf_rd_t=BROWSE&pf_rd_i=1953130031,0,"1,0","3,4",,,,,,
9,Dabur Baby Oil,https://www.amazon.in/Dabur-Baby-Oil-Nourishing-ayurvedic/dp/B08FJ93TRN?ref_=Oct_s9_apbd_onr_hd_bw_b28BAQJ&pf_rd_r=TN8E3CHN7CX0HDWMHZRZ&pf_rd_p=a8463b76-2acb-54b7-996f-4e5f38d6bbd1&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&pf_rd_i=1953138031,0,"1,0","3,4,1",,,,,,
10,LuvLap Elegant Baby Carrier with 4 Carry Positions,https://www.amazon.in/Luvlap-LuvLap-Elegant-Baby-Carrier/dp/B06XGFQGVN?ref_=Oct_s9_apbd_omg_hd_bw_b28BBix&pf_rd_r=S215ZGR9T1AGM8A8JSD3&pf_rd_p=600b7724-6f25-5371-aaf4-e0e48e089579&pf_rd_s=merchandised-search-10&pf_rd_t=BROWSE&pf_rd_i=1953143031,0,"1,0","3,4,5,0,2",,,,,,
11,LuvLap Joy Convertible Car Seat,https://www.amazon.in/LuvLap-Joy-Baby-Car-Seat/dp/B083WJRKGZ?ref_=Oct_s9_apbd_omg_hd_bw_b28BokJ&pf_rd_r=7FAEBBC02W6J5KP4KXJV&pf_rd_p=2ee80f37-040e-51f9-a2f9-9bae5cbb2cdc&pf_rd_s=merchandised-search-10&pf_rd_t=BROWSE&pf_rd_i=1953293031,0,"1,0","3,4,5,0,2,6",,,,,,
12,Baby Bath Towel,https://www.amazon.in/Uber-World-Towel-Sherin-Polywool/dp/B0814FMW2L/ref=sr_1_67?dchild=1&qid=1601615992&s=baby&sr=1-67,"0,1","1,0","3,4,5,0,2,6",,,,,,
